종목코드,종목명,추정수량,현재가,평가금액,비중(%),등락률(%),지분율(%),업종,기준일
137400,피엔티,198151,28350.0,5617580850,0.0014,1.4311270125223707,0.83,,2026-07-22
393890,더블유씨피,757439,7260.0,5499007140,0.0014,-2.288021534320328,2.25,,2026-07-22
170920,엘티씨,113766,47950.0,5455079700,0.0013,-12.976406533575313,1.14,,2026-07-22
030610,교보증권,575540,9430.0,5427342200,0.0013,-0.5274261603375519,0.5,,2026-07-22
264450,유비쿼스,575348,9410.0,5414024680,0.0013,0.10638297872340718,4.61,,2026-07-22
053800,안랩,99698,54000.0,5383692000,0.0013,2.2727272727272707,0.9,,2026-07-22
038290,마크로젠,479369,11090.0,5316202210,0.0013,-1.4222222222222247,4.4,,2026-07-22
024720,콜마홀딩스,624071,8480.0,5292122080,0.0013,0.4739336492890933,1.84,,2026-07-22
122900,아이마켓코리아,725000,7210.0,5227250000,0.0013,-0.8253094910591452,2.16,,2026-07-22
025770,한국정보통신,676020,7620.0,5151272400,0.0013,-1.9305019305019266,1.79,,2026-07-22
451800,한화리츠,1091954,4660.0,5088505640,0.0013,0.4310344827586299,0.6,,2026-07-22
052400,코나아이,130199,39050.0,5084270950,0.0013,-2.8606965174129306,0.87,,2026-07-22
005430,한국공항,63380,79800.0,5057724000,0.0012,0.6305170239596425,2.01,,2026-07-22
034310,NICE,395584,12700.0,5023916800,0.0012,0.39525691699604515,1.07,,2026-07-22
003470,유안타증권,1140684,4365.0,4979085660,0.0012,-0.45610034207526073,0.58,,2026-07-22
060250,NHN KCP,408451,11880.0,4852397880,0.0012,2.4137931034482696,1.01,,2026-07-22
002320,한진,331405,14450.0,4788802250,0.0012,-1.0273972602739767,2.21,,2026-07-22
267980,매일유업,143885,32900.0,4733816500,0.0012,1.8575851393188847,1.84,,2026-07-22
348210,넥스틴,136986,34200.0,4684921200,0.0012,-2.7027027027026973,1.31,,2026-07-22
487570,HS효성,107203,43200.0,4631169600,0.0011,0.0,2.85,,2026-07-22
148150,세경하이테크,1563636,2960.0,4628362560,0.0011,1.3698630136986356,4.35,,2026-07-22
000490,대동,704989,6560.0,4624727840,0.0011,1.7054263565891459,2.73,,2026-07-22
044450,KSS해운,456621,10050.0,4589041050,0.0011,3.182751540041062,1.96,,2026-07-22
114840,아이패밀리에스씨,561798,8140.0,4573035720,0.0011,1.8773466833541974,3.26,,2026-07-22
091700,파트론,808081,5650.0,4565657650,0.0011,-0.3527336860670194,1.38,,2026-07-22
092730,네오팜,244726,18630.0,4559245380,0.0011,-3.170478170478175,1.5,,2026-07-22
090350,노루페인트,617128,7380.0,4554404640,0.0011,0.40816326530612734,3.11,,2026-07-22
322510,제이엘케이,858896,5270.0,4526381920,0.0011,-2.226345083487946,3.36,,2026-07-22
425040,티이엠씨,498084,9070.0,4517621880,0.0011,-0.6571741511500528,2.36,,2026-07-22
100120,뷰웍스,198113,22650.0,4487259450,0.0011,-1.091703056768556,2.0,,2026-07-22
102260,동성케미컬,1293452,3465.0,4481811180,0.0011,0.0,2.56,,2026-07-22
214370,케어젠,79861,55100.0,4400341100,0.0011,-2.4778761061946875,0.15,,2026-07-22
007700,F&F홀딩스,315091,13500.0,4253728500,0.001,-2.2447501810282433,0.8,,2026-07-22
018250,애경산업,378215,11200.0,4236008000,0.001,-1.0600706713780883,1.42,,2026-07-22
108380,대양전기공업,256809,16410.0,4214235690,0.001,0.7366482504604033,2.72,,2026-07-22
079900,전진건설로봇,135211,31150.0,4211822650,0.001,4.006677796327218,0.92,,2026-07-22
338220,뷰노,570248,7380.0,4208430240,0.001,0.40816326530612734,4.12,,2026-07-22
017860,DS단석,378047,11110.0,4200102170,0.001,-0.35874439461883734,2.12,,2026-07-22
322310,오로스테크놀로지,254817,16470.0,4196835990,0.001,-0.5434782608695676,2.71,,2026-07-22
053030,바이넥스,659760,6350.0,4189476000,0.001,-0.31397174254317317,2.01,,2026-07-22
079960,동양이엔피,211935,19440.0,4120016400,0.001,0.7253886010362587,2.72,,2026-07-22
126560,현대퓨처넷,1373844,2915.0,4004755260,0.001,-0.34188034188034067,1.25,,2026-07-22
039570,HDC랩스,522648,7510.0,3925086480,0.001,0.0,2.02,,2026-07-22
272110,케이엔제이,140221,27450.0,3849066450,0.0009,1.855287569573294,1.78,,2026-07-22
009160,SIMPAC,852197,4470.0,3809320590,0.0009,3.114186851211076,1.32,,2026-07-22
194480,데브시스터즈,238267,15980.0,3807506660,0.0009,2.3047375160051287,1.99,,2026-07-22
060370,LS마린솔루션,130971,28850.0,3778513350,0.0009,4.7186932849364815,0.35,,2026-07-22
417200,LS머트리얼즈,339559,11120.0,3775896080,0.0009,3.153988868274582,0.51,,2026-07-22
200670,휴메딕스,156213,24150.0,3772543950,0.0009,-0.8213552361396315,1.4,,2026-07-22
214420,토니모리,760518,4875.0,3707525250,0.0009,-0.9146341463414642,3.18,,2026-07-22
290740,액트로,494071,7500.0,3705532500,0.0009,1.3513513513513598,4.91,,2026-07-22
010170,대한광통신,366748,10090.0,3700487320,0.0009,2.33265720081135,0.41,,2026-07-22
136540,윈스,359184,10200.0,3663676800,0.0009,0.8902077151335286,2.93,,2026-07-22
033100,제룡전기,84875,43100.0,3658112500,0.0009,1.0550996483001063,0.52,,2026-07-22
042000,카페24,230088,15640.0,3598576320,0.0009,0.19218449711724261,0.95,,2026-07-22
403550,쏘카,395604,9080.0,3592084320,0.0009,-5.020920502092052,1.21,,2026-07-22
005680,삼영전자,274112,13100.0,3590867200,0.0009,0.8468052347959887,1.35,,2026-07-22
002840,미원상사,29255,121100.0,3542780500,0.0009,0.5813953488372103,0.62,,2026-07-22
035510,신세계 I&C,289655,12170.0,3525101350,0.0009,-0.40916530278232166,1.89,,2026-07-22
001940,KISCO홀딩스,140281,25100.0,3521053100,0.0009,-0.1988071570576566,0.88,,2026-07-22
